number,label
0001,70
0002,42
0003,58
0004,06
0005,27
0006,60
0007,07
0008,35
0009,96
0010,35
0011,28
0012,97
0013,03
0014,47
0015,96
0016,96
0017,73
0018,01
0019,19
0020,50
0021,36
0022,05
0023,12
0024,72
0025,65
0026,48
0027,70
0028,76
0029,79
0030,42
0031,21
0032,92
0033,16
0034,35
0035,54
0036,20
0037,35
0038,61
0039,64
0040,18
0041,81
0042,28
0043,43
0044,81
0045,31
0046,82
0047,84
0048,74
0049,90
0050,09
0051,71
0052,59
0053,35
0054,12
0055,97
0056,50
0057,63
0058,41
0059,49
0060,85
0061,85
0062,02
0063,75
0064,10
0065,59
0066,23
0067,92
0068,51
0069,01
0070,18
0071,35
0072,43
0073,32
0074,20
0075,74
0076,79
0077,40
0078,50
0079,51
0080,42
0081,60
0082,21
0083,00
0084,46
0085,79
0086,68
0087,28
0088,06
0089,21
0090,10
0091,82
0092,73
0093,31
0094,22
0095,18
0096,94
0097,25
0098,21
0099,84
0100,03
0101,79
0102,50
0103,30
0104,06
0105,13
0106,39
0107,61
0108,69
0109,19
0110,83
0111,81
0112,13
0113,39
0114,72
0115,60
0116,71
0117,30
0118,96
0119,28
0120,72
0121,10
0122,11
0123,68
0124,72
0125,65
0126,61
0127,94
0128,17
0129,88
0130,49
0131,96
0132,09
0133,71
0134,94
0135,13
0136,33
0137,57
0138,01
0139,97
0140,50
0141,09
0142,57
0143,19
0144,91
0145,97
0146,27
0147,02
0148,07
0149,66
0150,82
0151,83
0152,97
0153,66
0154,37
0155,08
0156,59
0157,27
0158,06
0159,59
0160,59
0161,28
0162,63
0163,79
0164,34
0165,58
0166,34
0167,73
0168,12
0169,27
0170,97
0171,29
0172,46
0173,75
0174,38
0175,21
0176,39
0177,29
0178,73
0179,32
0180,05
0181,85
0182,55
0183,40
0184,17
0185,22
0186,20
0187,86
0188,01
0189,18
0190,91
0191,71
0192,72
0193,82
0194,23
0195,34
0196,43
0197,60
0198,06
0199,23
0200,76
0201,54
0202,28
0203,58
0204,30
0205,55
0206,61
0207,71
0208,10
0209,15
0210,13
0211,18
0212,97
0213,70
0214,06
0215,85
0216,35
0217,86
0218,81
0219,91
0220,36
0221,73
0222,62
0223,34
0224,03
0225,02
0226,24
0227,37
0228,23
0229,07
0230,13
0231,96
0232,39
0233,46
0234,05
0235,57
0236,57
0237,59
0238,88
0239,72
0240,32
0241,71
0242,57
0243,11
0244,10
0245,68
0246,67
0247,80
0248,24
0249,86
0250,39
0251,49
0252,19
0253,76
0254,76
0255,51
0256,99
0257,74
0258,06
0259,97
0260,65
0261,75
0262,35
0263,36
0264,96
0265,37
0266,03
0267,34
0268,96
0269,06
0270,84
0271,55
0272,30
0273,61
0274,12
0275,57
0276,61
0277,80
0278,55
0279,23
0280,55
0281,84
0282,51
0283,51
0284,60
0285,55
0286,50
0287,08
0288,92
0289,95
0290,94
0291,92
0292,42
0293,11
0294,94
0295,01
0296,66
0297,50
0298,95
0299,79
0300,72
0301,87
0302,35
0303,41
0304,42
0305,35
0306,25
0307,73
0308,19
0309,85
0310,04
0311,63
0312,19
0313,37
0314,13
0315,13
0316,35
0317,71
0318,43
0319,61
0320,57
0321,30
0322,33
0323,35
0324,72
0325,61
0326,10
0327,25
0328,18
0329,71
0330,19
0331,53
0332,09
0333,44
0334,70
0335,96
0336,59
0337,74
0338,59
0339,84
0340,96
0341,89
0342,06
0343,34
0344,83
0345,07
0346,60
0347,28
0348,39
0349,09
0350,79
0351,16
0352,86
0353,85
0354,76
0355,51
0356,31
0357,60
0358,42
0359,72
0360,24
0361,12
0362,42
0363,90
0364,85
0365,83
0366,19
0367,79
0368,05
0369,59
0370,67
0371,73
0372,42
0373,70
0374,03
0375,09
0376,61
0377,53
0378,57
0379,45
0380,72
0381,85
0382,13
0383,43
0384,96
0385,49
0386,81
0387,31
0388,87
0389,97
0390,30
0391,90
0392,85
0393,21
0394,92
0395,72
0396,25
0397,49
0398,39
0399,89
0400,67
0401,02
0402,38
0403,22
0404,92
0405,30
0406,34
0407,79
0408,51
0409,25
0410,56
0411,61
0412,78
0413,72
0414,96
0415,97
0416,39
0417,24
0418,28
0419,28
0420,73
0421,96
0422,56
0423,95
0424,97
0425,10
0426,81
0427,16
0428,28
0429,77
0430,05
0431,48
0432,17
0433,58
0434,80
0435,22
0436,85
0437,85
0438,33
0439,72
0440,78
0441,19
0442,13
0443,75
0444,78
0445,08
0446,16
0447,97
0448,69
0449,62
0450,33
0451,65
0452,23
0453,74
0454,21
0455,23
0456,86
0457,19
0458,90
0459,59
0460,79
0461,33
0462,05
0463,95
0464,59
0465,77
0466,13
0467,60
0468,78
0469,13
0470,58
0471,38
0472,97
0473,92
0474,31
0475,71
0476,85
0477,31
0478,97
0479,75
0480,18
0481,28
0482,38
0483,11
0484,97
0485,02
0486,05
0487,72
0488,38
0489,91
0490,55
0491,60
0492,18
0493,06
0494,18
0495,00
0496,51
0497,98
0498,93
0499,10
0500,62
0501,12
0502,37
0503,82
0504,18
0505,46
0506,92
0507,48
0508,31
0509,31
0510,22
0511,03
0512,51
0513,79
0514,23
0515,16
0516,52
0517,81
0518,54
0519,46
0520,95
0521,96
0522,19
0523,40
0524,38
0525,56
0526,14
0527,29
0528,96
0529,79
0530,20
0531,35
0532,05
0533,24
0534,34
0535,71
0536,27
0537,92
0538,97
0539,44
0540,18
0541,96
0542,81
0543,84
0544,35
0545,36
0546,50
0547,72
0548,96
0549,71
0550,34
0551,19
0552,63
0553,74
0554,60
0555,89
0556,44
0557,39
0558,24
0559,72
0560,01
0561,96
0562,44
0563,17
0564,97
0565,49
0566,61
0567,60
0568,17
0569,59
0570,92
0571,50
0572,85
0573,48
0574,13
0575,85
0576,65
0577,58
0578,97
0579,05
0580,23
0581,10
0582,85
0583,66
0584,79
0585,23
0586,14
0587,35
0588,97
0589,51
0590,71
0591,13
0592,05
0593,78
0594,23
0595,18
0596,50
0597,14
0598,61
0599,03
0600,59
0601,35
0602,95
0603,86
0604,27
0605,08
0606,63
0607,76
0608,06
0609,61
0610,61
0611,54
0612,17
0613,20
0614,37
0615,15
0616,10
0617,71
0618,94
0619,50
0620,19
0621,36
0622,96
0623,45
0624,70
0625,62
0626,68
0627,34
0628,05
0629,07
0630,69
0631,46
0632,81
0633,42
0634,80
0635,70
0636,68
0637,00
0638,30
0639,20
0640,14
0641,31
0642,44
0643,12
0644,97
0645,73
0646,06
0647,06
0648,02
0649,07
0650,54
0651,91
0652,83
0653,65
0654,07
0655,27
0656,40
0657,60
0658,06
0659,73
0660,31
0661,37
0662,84
0663,61
0664,37
0665,35
0666,71
0667,59
0668,97
0669,85
0670,18
0671,41
0672,23
0673,37
0674,82
0675,58
0676,37
0677,71
0678,51
0679,16
0680,42
0681,08
0682,06
0683,38
0684,79
0685,32
0686,06
0687,79
0688,85
0689,23
0690,85
0691,35
0692,81
0693,56
0694,71
0695,47
0696,35
0697,23
0698,54
0699,13
0700,32
0701,05
0702,17
0703,15
0704,80
0705,26
0706,28
0707,15
0708,79
0709,68
0710,28
0711,31
0712,61
0713,58
0714,18
0715,01
0716,72
0717,94
0718,84
0719,98
0720,18
0721,81
0722,07
0723,48
0724,88
0725,78
0726,85
0727,83
0728,23
0729,92
0730,63
0731,89
0732,79
0733,27
0734,38
0735,28
0736,21
0737,94
0738,02
0739,87
0740,96
0741,62
0742,97
0743,96
0744,26
0745,55
0746,90
0747,97
0748,18
0749,23
0750,57
0751,20
0752,54
0753,72
0754,41
0755,66
0756,50
0757,50
0758,91
0759,78
0760,10
0761,06
0762,90
0763,05
0764,57
0765,38
0766,87
0767,37
0768,47
0769,59
0770,52
0771,79
0772,34
0773,10
0774,08
0775,60
0776,54
0777,96
0778,72
0779,00
0780,28
0781,59
0782,92
0783,64
0784,84
0785,35
0786,83
0787,54
0788,50
0789,29
0790,76
0791,23
0792,20
0793,41
0794,66
0795,61
0796,03
0797,23
0798,89
0799,01
0800,72
0801,73
0802,78
0803,68
0804,30
0805,27
0806,30
0807,65
0808,56
0809,23
0810,87
0811,35
0812,81
0813,74
0814,29
0815,59
0816,95
0817,37
0818,09
0819,74
0820,98
0821,44
0822,79
0823,22
0824,37
0825,31
0826,05
0827,37
0828,90
0829,35
0830,71
0831,59
0832,18
0833,39
0834,10
0835,51
0836,20
0837,52
0838,29
0839,72
0840,94
0841,86
0842,62
0843,45
0844,42
0845,06
0846,50
0847,96
0848,55
0849,13
0850,73
0851,31
0852,37
0853,50
0854,97
0855,62
0856,18
0857,49
0858,87
0859,31
0860,02
0861,92
0862,06
0863,35
0864,55
0865,48
0866,82
0867,82
0868,64
0869,86
0870,76
0871,51
0872,20
0873,97
0874,45
0875,55
0876,71
0877,59
0878,71
0879,84
0880,06
0881,09
0882,35
0883,77
0884,70
0885,94
0886,48
0887,92
0888,59
0889,96
0890,36
0891,76
0892,84
0893,08
0894,55
0895,06
0896,05
0897,67
0898,81
0899,12
0900,47
0901,36
0902,35
0903,79
0904,85
0905,52
0906,81
0907,21
0908,12
0909,84
0910,76
0911,72
0912,91
0913,12
0914,97
0915,25
0916,23
0917,58
0918,24
0919,35
0920,71
0921,89
0922,35
0923,76
0924,79
0925,72
0926,30
0927,81
0928,44
0929,09
0930,10
0931,68
0932,13
0933,69
0934,03
0935,58
0936,43
0937,01
0938,23
0939,35
0940,05
0941,20
0942,99
0943,60
0944,42
0945,80
0946,13
0947,31
0948,74
0949,34
0950,61
0951,26
0952,68
0953,14
0954,20
0955,29
0956,87
0957,48
0958,53
0959,95
0960,96
0961,59
0962,72
0963,85
0964,03
0965,97
0966,69
0967,75
0968,60
0969,79
0970,24
0971,76
0972,81
0973,56
0974,16
0975,72
0976,71
0977,05
0978,92
0979,72
0980,72
0981,67
0982,94
0983,35
0984,59
0985,24
0986,08
0987,68
0988,37
0989,84
0990,10
0991,25
0992,03
0993,72
0994,92
0995,07
0996,06
0997,98
0998,26
0999,34
1000,95
1001,06
1002,73
1003,98
1004,89
1005,43
1006,87
1007,74
1008,20
1009,92
1010,05
1011,71
1012,85
1013,91
1014,71
1015,61
1016,11
1017,59
1018,71
1019,25
1020,26
1021,31
1022,91
1023,06
1024,19
1025,64
1026,39
1027,60
1028,05
1029,33
1030,96
1031,60
1032,41
1033,59
1034,52
1035,97
1036,19
1037,99
1038,85
1039,63
1040,52
1041,36
1042,55
1043,35
1044,97
1045,30
1046,44
1047,20
1048,86
1049,05
1050,33
1051,72
1052,55
1053,58
1054,35
1055,25
1056,58
1057,76
1058,83
1059,82
1060,59
1061,44
1062,72
1063,60
1064,35
1065,81
1066,81
1067,95
1068,68
1069,72
1070,06
1071,36
1072,35
1073,96
1074,71
1075,49
1076,34
1077,88
1078,85
1079,60
1080,56
1081,38
1082,90
1083,27
1084,94
1085,05
1086,37
1087,33
1088,07
1089,72
1090,85
1091,46
1092,74
1093,11
1094,85
1095,79
1096,09
1097,92
1098,59
1099,19
1100,92
1101,50
1102,72
1103,97
1104,13
1105,27
1106,80
1107,40
1108,49
1109,27
1110,79
1111,94
1112,04
1113,61
1114,60
1115,44
1116,31
1117,77
1118,86
1119,94
1120,93
1121,61
1122,69
1123,71
1124,26
1125,96
1126,59
1127,83
1128,77
1129,37
1130,96
1131,62
1132,35
1133,21
1134,35
1135,18
1136,76
1137,81
1138,62
1139,28
1140,94
1141,13
1142,37
1143,41
1144,09
1145,85
1146,15
1147,91
1148,10
1149,16
1150,41
1151,56
1152,60
1153,59
1154,10
1155,59
1156,86
1157,40
1158,17
1159,43
1160,85
1161,25
1162,35
1163,97
1164,27
1165,25
1166,58
1167,52
1168,97
1169,87
1170,04
1171,03
1172,50
1173,72
1174,96
1175,21
1176,27
1177,79
1178,08
1179,06
1180,53
1181,31
1182,24
1183,61
1184,43
1185,06
1186,94
1187,10
1188,05
1189,05
1190,62
1191,59
1192,86
1193,28
1194,29
1195,05
1196,35
1197,96
1198,03
1199,14
1200,68
1201,36
1202,18
1203,72
1204,27
1205,23
1206,23
1207,40
1208,57
1209,37
1210,43
1211,53
1212,20
1213,79
1214,65
1215,37
1216,23
1217,44
1218,96
1219,50
1220,88
1221,71
1222,21
1223,18
1224,18
1225,05
1226,17
1227,69
1228,21
1229,71
1230,87
1231,92
1232,77
1233,28
1234,21
1235,17
1236,94
1237,97
1238,97
1239,71
1240,76
1241,68
1242,35
1243,48
1244,20
