number, label
0001, 70
0002, 11
0003, 6
0004, 95
0005, 6
0006, 30
0007, 23
0008, 89
0009, 4
0010, 87
0011, 74
0012, 20
0013, 62
0014, 79
0015, 25
0016, 71
0017, 85
0018, 27
0019, 23
0020, 61
0021, 11
0022, 59
0023, 71
0024, 63
0025, 50
0026, 26
0027, 38
0028, 91
0029, 1
0030, 19
0031, 64
0032, 39
0033, 60
0034, 5
0035, 33
0036, 30
0037, 96
0038, 60
0039, 41
0040, 33
0041, 96
0042, 64
0043, 42
0044, 99
0045, 85
0046, 63
0047, 6
0048, 18
0049, 80
0050, 6
0051, 35
0052, 97
0053, 73
0054, 44
0055, 7
0056, 86
0057, 66
0058, 87
0059, 8
0060, 72
0061, 1
0062, 58
0063, 35
0064, 25
0065, 58
0066, 76
0067, 97
0068, 82
0069, 39
0070, 8
0071, 41
0072, 55
0073, 82
0074, 98
0075, 90
0076, 81
0077, 30
0078, 68
0079, 55
0080, 61
0081, 79
0082, 36
0083, 97
0084, 96
0085, 71
0086, 97
0087, 3
0088, 8
0089, 90
0090, 60
0091, 69
0092, 56
0093, 31
0094, 90
0095, 18
0096, 94
0097, 5
0098, 37
0099, 33
0100, 7
0101, 72
0102, 50
0103, 85
0104, 46
0105, 50
0106, 35
0107, 85
0108, 79
0109, 9
0110, 92
0111, 49
0112, 75
0113, 27
0114, 83
0115, 18
0116, 74
0117, 55
0118, 80
0119, 8
0120, 93
0121, 55
0122, 40
0123, 49
0124, 97
0125, 81
0126, 77
0127, 94
0128, 4
0129, 61
0130, 60
0131, 84
0132, 38
0133, 77
0134, 86
0135, 94
0136, 87
0137, 93
0138, 61
0139, 69
0140, 23
0141, 26
0142, 96
0143, 4
0144, 92
0145, 77
0146, 90
0147, 39
0148, 96
0149, 51
0150, 46
0151, 29
0152, 31
0153, 59
0154, 76
0155, 81
0156, 62
0157, 27
0158, 64
0159, 37
0160, 13
0161, 37
0162, 41
0163, 9
0164, 85
0165, 15
0166, 71
0167, 10
0168, 16
0169, 60
0170, 41
0171, 96
0172, 96
0173, 85
0174, 27
0175, 31
0176, 86
0177, 40
0178, 17
0179, 38
0180, 71
0181, 85
0182, 25
0183, 97
0184, 97
0185, 55
0186, 72
0187, 41
0188, 85
0189, 97
0190, 87
0191, 55
0192, 55
0193, 3
0194, 50
0195, 72
0196, 96
0197, 21
0198, 93
0199, 79
0200, 8
0201, 6
0202, 96
0203, 53
0204, 31
0205, 24
0206, 10
0207, 43
0208, 6
0209, 94
0210, 10
0211, 91
0212, 5
0213, 16
0214, 62
0215, 96
0216, 86
0217, 28
0218, 29
0219, 25
0220, 23
0221, 96
