number, label
0001, 33
0002, 42
0003, 12
0004, 83
0005, 60
0006, 60
0007, 82
0008, 14
0009, 47
0010, 83
0011, 41
0012, 88
0013, 18
0014, 52
0015, 96
0016, 74
0017, 2
0018, 82
0019, 42
0020, 42
0021, 42
0022, 33
0023, 33
0024, 45
0025, 14
0026, 42
0027, 42
0028, 76
0029, 3
0030, 96
0031, 14
0032, 33
0033, 16
0034, 35
0035, 7
0036, 42
0037, 14
0038, 61
0039, 14
0040, 18
0041, 33
0042, 16
0043, 33
0044, 33
0045, 42
0046, 82
0047, 18
0048, 33
0049, 23
0050, 14
0051, 71
0052, 22
0053, 14
0054, 33
0055, 45
0056, 78
0057, 99
0058, 14
0059, 18
0060, 42
0061, 83
0062, 26
0063, 42
0064, 77
0065, 55
0066, 89
0067, 14
0068, 51
0069, 14
0070, 96
0071, 2
0072, 78
0073, 29
0074, 82
0075, 33
0076, 82
0077, 14
0078, 7
0079, 78
0080, 42
0081, 76
0082, 42
0083, 62
0084, 14
0085, 42
0086, 73
0087, 78
0088, 14
0089, 42
0090, 42
0091, 82
0092, 14
0093, 74
0094, 42
0095, 99
0096, 33
0097, 83
0098, 42
0099, 33
0100, 42
0101, 82
0102, 42
0103, 30
0104, 82
0105, 33
0106, 39
0107, 14
0108, 46
0109, 82
0110, 82
0111, 96
0112, 33
0113, 83
0114, 42
0115, 60
0116, 60
0117, 59
0118, 52
0119, 42
0120, 87
0121, 99
0122, 14
0123, 68
0124, 34
0125, 41
0126, 10
0127, 73
0128, 14
0129, 39
0130, 78
0131, 42
0132, 33
0133, 82
0134, 94
0135, 42
0136, 45
0137, 57
0138, 77
0139, 42
0140, 14
0141, 94
0142, 45
0143, 78
0144, 6
0145, 19
0146, 14
0147, 42
0148, 42
0149, 33
0150, 78
0151, 83
0152, 14
0153, 39
0154, 78
0155, 42
0156, 42
0157, 42
0158, 33
0159, 75
0160, 47
0161, 16
0162, 82
0163, 14
0164, 78
0165, 14
0166, 33
0167, 18
0168, 12
0169, 83
0170, 83
0171, 42
0172, 46
0173, 42
0174, 14
0175, 21
0176, 83
0177, 42
0178, 14
0179, 14
0180, 3
0181, 42
0182, 83
0183, 83
0184, 34
0185, 42
0186, 20
0187, 29
0188, 78
0189, 39
0190, 99
0191, 25
0192, 14
0193, 82
0194, 14
0195, 96
0196, 6
0197, 87
0198, 42
0199, 97
0200, 33
0201, 53
0202, 84
0203, 14
0204, 40
0205, 14
0206, 78
0207, 45
0208, 83
0209, 63
0210, 42
0211, 18
0212, 42
0213, 39
0214, 14
0215, 12
0216, 42
0217, 42
0218, 83
0219, 18
0220, 78
0221, 78
0222, 82
0223, 83
0224, 26
0225, 2
0226, 33
0227, 26
0228, 18
0229, 18
0230, 96
0231, 83
0232, 12
0233, 42
0234, 87
0235, 99
0236, 88
0237, 42
0238, 82
0239, 6
0240, 14
0241, 60
0242, 78
0243, 59
0244, 14
0245, 33
0246, 83
0247, 75
0248, 79
0249, 42
0250, 39
0251, 82
0252, 47
0253, 96
0254, 8
0255, 82
0256, 78
0257, 14
0258, 83
0259, 42
0260, 2
0261, 78
0262, 33
0263, 62
0264, 33
0265, 42
0266, 42
0267, 42
0268, 96
0269, 82
0270, 78
0271, 14
0272, 39
0273, 61
0274, 33
0275, 99
0276, 42
0277, 82
0278, 42
0279, 23
0280, 33
0281, 14
0282, 62
0283, 42
0284, 71
0285, 78
0286, 42
0287, 47
0288, 14
0289, 69
0290, 33
0291, 82
0292, 42
0293, 82
0294, 18
0295, 78
0296, 42
0297, 7
0298, 82
0299, 18
0300, 42
0301, 87
0302, 78
0303, 78
0304, 42
0305, 33
0306, 83
0307, 83
0308, 78
0309, 78
0310, 74
0311, 88
0312, 83
0313, 17
0314, 42
0315, 42
0316, 78
0317, 16
0318, 82
0319, 26
0320, 83
0321, 39
0322, 33
0323, 42
0324, 14
0325, 42
0326, 10
0327, 33
0328, 18
0329, 59
0330, 33
0331, 83
0332, 82
0333, 23
0334, 82
0335, 96
0336, 42
0337, 42
0338, 33
0339, 83
0340, 78
0341, 48
0342, 14
0343, 42
0344, 33
0345, 42
0346, 12
0347, 28
0348, 42
0349, 22
0350, 82
0351, 83
0352, 10
0353, 82
0354, 70
0355, 39
0356, 83
0357, 60
0358, 42
0359, 33
0360, 14
0361, 37
0362, 42
0363, 42
0364, 45
0365, 83
0366, 42
0367, 79
0368, 83
0369, 42
0370, 14
0371, 18
0372, 23
0373, 82
0374, 34
0375, 9
0376, 99
0377, 53
0378, 74
0379, 59
0380, 82
0381, 4
0382, 42
0383, 89
0384, 37
0385, 49
0386, 42
0387, 45
0388, 12
0389, 33
0390, 22
0391, 81
0392, 42
0393, 45
0394, 33
0395, 39
0396, 91
0397, 18
0398, 42
0399, 74
0400, 82
0401, 78
0402, 14
0403, 42
0404, 83
0405, 23
0406, 42
0407, 40
0408, 33
0409, 23
0410, 47
0411, 10
0412, 42
0413, 83
0414, 59
0415, 42
0416, 39
0417, 18
0418, 94
0419, 18
0420, 99
0421, 42
0422, 47
0423, 2
0424, 33
0425, 61
0426, 18
0427, 14
0428, 42
0429, 88
0430, 18
0431, 42
0432, 48
0433, 42
0434, 42
0435, 22
0436, 42
0437, 21
0438, 4
0439, 78
0440, 39
0441, 42
0442, 42
0443, 74
0444, 39
0445, 42
0446, 78
0447, 82
0448, 18
0449, 14
0450, 82
0451, 14
0452, 74
0453, 42
0454, 42
0455, 47
0456, 16
0457, 42
0458, 42
0459, 55
0460, 78
0461, 33
0462, 82
0463, 39
0464, 3
0465, 42
0466, 80
0467, 60
0468, 78
0469, 25
0470, 42
0471, 72
0472, 72
0473, 92
0474, 89
0475, 78
0476, 89
0477, 78
0478, 42
0479, 42
0480, 42
0481, 28
0482, 42
0483, 83
0484, 42
0485, 82
0486, 42
0487, 42
0488, 14
0489, 18
0490, 14
0491, 92
0492, 42
0493, 5
0494, 18
0495, 70
0496, 40
0497, 59
0498, 78
0499, 10
0500, 82
0501, 12
0502, 87
0503, 82
0504, 42
0505, 53
0506, 80
0507, 83
0508, 78
0509, 78
0510, 10
0511, 14
0512, 82
0513, 65
0514, 23
0515, 78
0516, 59
0517, 13
0518, 96
0519, 14
0520, 23
0521, 96
0522, 33
0523, 89
0524, 42
0525, 83
0526, 42
0527, 42
0528, 45
0529, 14
0530, 25
0531, 82
0532, 84
0533, 79
0534, 42
0535, 33
0536, 42
0537, 39
0538, 42
0539, 33
0540, 18
0541, 42
0542, 81
0543, 33
0544, 12
0545, 33
0546, 7
0547, 78
0548, 42
0549, 60
0550, 42
0551, 78
0552, 74
0553, 78
0554, 71
0555, 83
0556, 59
0557, 39
0558, 42
0559, 42
0560, 83
0561, 42
0562, 78
0563, 14
0564, 33
0565, 71
0566, 96
0567, 23
0568, 82
0569, 78
0570, 82
0571, 14
0572, 12
0573, 83
0574, 18
0575, 8
0576, 21
0577, 58
0578, 42
0579, 2
0580, 14
0581, 78
0582, 59
0583, 42
0584, 42
0585, 42
0586, 42
0587, 33
0588, 42
0589, 92
0590, 87
0591, 83
0592, 5
0593, 42
0594, 18
0595, 42
0596, 45
0597, 14
0598, 78
0599, 3
0600, 11
0601, 25
0602, 82
0603, 16
0604, 42
0605, 42
0606, 42
0607, 92
0608, 96
0609, 61
0610, 88
0611, 14
0612, 89
0613, 42
0614, 96
0615, 42
0616, 78
0617, 71
0618, 42
0619, 82
0620, 42
0621, 42
0622, 53
0623, 82
0624, 74
0625, 33
0626, 90
0627, 42
0628, 42
0629, 96
0630, 79
0631, 44
0632, 12
0633, 82
0634, 42
0635, 33
0636, 42
0637, 22
0638, 78
0639, 78
0640, 18
0641, 78
0642, 82
0643, 42
0644, 82
0645, 91
0646, 18
0647, 83
0648, 46
0649, 96
0650, 33
0651, 14
0652, 83
0653, 14
0654, 82
0655, 52
0656, 40
0657, 89
0658, 14
0659, 83
0660, 3
0661, 82
0662, 42
0663, 42
0664, 12
0665, 18
0666, 71
0667, 59
0668, 88
0669, 82
0670, 82
0671, 9
0672, 6
0673, 14
0674, 82
0675, 47
0676, 33
0677, 67
0678, 51
0679, 83
0680, 42
0681, 42
0682, 83
0683, 78
0684, 42
0685, 83
0686, 14
0687, 18
0688, 42
0689, 77
0690, 42
0691, 14
0692, 82
0693, 59
0694, 33
0695, 47
0696, 83
0697, 23
0698, 6
0699, 82
0700, 78
0701, 14
0702, 17
0703, 15
0704, 42
0705, 82
0706, 79
0707, 78
0708, 18
0709, 79
0710, 28
0711, 45
0712, 48
0713, 42
0714, 18
0715, 14
0716, 42
0717, 94
0718, 83
0719, 22
0720, 88
0721, 33
0722, 42
0723, 63
0724, 42
0725, 42
0726, 78
0727, 33
0728, 18
0729, 83
0730, 78
0731, 42
0732, 48
0733, 27
0734, 29
0735, 28
0736, 42
0737, 33
0738, 18
0739, 25
0740, 83
0741, 82
0742, 42
0743, 33
0744, 42
0745, 33
0746, 42
0747, 78
0748, 6
0749, 18
0750, 14
0751, 20
0752, 82
0753, 42
0754, 82
0755, 42
0756, 83
0757, 42
0758, 42
0759, 42
0760, 96
0761, 83
0762, 42
0763, 2
0764, 83
0765, 14
0766, 33
0767, 42
0768, 96
0769, 45
0770, 96
0771, 42
0772, 42
0773, 42
0774, 42
0775, 68
0776, 33
0777, 39
0778, 78
0779, 83
0780, 14
0781, 42
0782, 88
0783, 42
0784, 82
0785, 42
0786, 33
0787, 33
0788, 14
0789, 14
0790, 72
0791, 82
0792, 96
0793, 42
0794, 33
0795, 61
0796, 42
0797, 96
0798, 59
0799, 78
0800, 42
0801, 33
0802, 33
0803, 28
0804, 33
0805, 14
0806, 78
0807, 14
0808, 42
0809, 94
0810, 83
0811, 42
0812, 42
0813, 33
0814, 74
0815, 96
0816, 78
0817, 14
0818, 40
0819, 42
0820, 42
0821, 33
0822, 45
0823, 78
0824, 42
0825, 42
0826, 25
0827, 89
0828, 82
0829, 47
0830, 71
0831, 42
0832, 7
0833, 39
0834, 22
0835, 18
0836, 78
0837, 42
0838, 42
0839, 42
0840, 94
0841, 99
0842, 18
0843, 78
0844, 42
0845, 42
0846, 78
0847, 33
0848, 42
0849, 96
0850, 14
0851, 78
0852, 83
0853, 83
0854, 14
0855, 82
0856, 14
0857, 23
0858, 22
0859, 59
0860, 78
0861, 18
0862, 9
0863, 42
0864, 4
0865, 42
0866, 82
0867, 82
0868, 42
0869, 16
0870, 96
0871, 7
0872, 20
0873, 33
0874, 78
0875, 14
0876, 90
0877, 42
0878, 42
0879, 42
0880, 14
0881, 42
0882, 3
0883, 54
0884, 82
0885, 94
0886, 42
0887, 62
0888, 42
0889, 83
0890, 78
0891, 18
0892, 14
0893, 42
0894, 42
0895, 78
0896, 42
0897, 14
0898, 96
0899, 42
0900, 59
0901, 83
0902, 42
0903, 14
0904, 12
0905, 96
0906, 14
0907, 14
0908, 42
0909, 14
0910, 16
0911, 42
0912, 29
0913, 42
0914, 42
0915, 18
0916, 72
0917, 83
0918, 14
0919, 33
0920, 73
0921, 78
0922, 42
0923, 16
0924, 82
0925, 82
0926, 82
0927, 42
0928, 6
0929, 9
0930, 53
0931, 68
0932, 42
0933, 18
0934, 27
0935, 82
0936, 29
0937, 42
0938, 78
0939, 90
0940, 94
0941, 42
0942, 15
0943, 71
0944, 42
0945, 6
0946, 78
0947, 42
0948, 45
0949, 99
0950, 70
0951, 42
0952, 33
0953, 14
0954, 99
0955, 29
0956, 26
0957, 78
0958, 99
0959, 39
0960, 83
0961, 82
0962, 42
0963, 42
0964, 33
0965, 88
0966, 69
0967, 78
0968, 23
0969, 57
0970, 48
0971, 12
0972, 42
0973, 78
0974, 12
0975, 18
0976, 10
0977, 25
0978, 82
0979, 42
0980, 42
0981, 42
0982, 94
0983, 33
0984, 42
0985, 78
0986, 42
0987, 33
0988, 18
0989, 82
0990, 14
0991, 33
0992, 42
