number, label
0001, 70
0010, 34
0100, 6
1000, 30
1001, 6
1002, 73
1003, 35
1004, 89
1005, 63
1006, 87
1007, 74
1008, 20
1009, 82
0101, 79
1010, 25
1011, 71
1012, 85
1013, 27
1014, 23
1015, 61
1016, 11
1017, 59
1018, 60
1019, 33
0102, 50
1020, 26
1021, 31
1022, 91
1023, 26
1024, 19
1025, 64
1026, 39
1027, 60
1028, 5
1029, 33
0103, 30
1030, 96
1031, 60
1032, 41
1033, 66
1034, 96
1035, 55
1036, 42
1037, 99
1038, 8
1039, 63
0104, 6
1040, 18
1041, 36
1042, 55
1043, 35
1044, 97
1045, 73
1046, 44
1047, 20
1048, 86
1049, 66
0105, 13
1050, 8
1051, 72
1052, 1
1053, 58
1054, 35
1055, 25
1056, 58
1057, 76
1058, 97
1059, 82
0106, 39
1060, 8
1061, 41
1062, 55
1063, 82
1064, 98
1065, 90
1066, 81
1067, 72
1068, 68
1069, 55
0107, 61
1070, 6
1071, 36
1072, 97
1073, 96
1074, 71
1075, 49
1076, 50
1077, 8
1078, 90
1079, 71
0108, 69
1080, 56
1081, 55
1082, 90
1083, 37
1084, 94
1085, 89
1086, 37
1087, 66
1088, 7
1089, 55
0109, 55
1090, 85
1091, 11
1092, 64
1093, 35
1094, 85
1095, 79
1096, 51
1097, 70
1098, 73
1099, 51
0011, 27
0110, 83
1100, 54
1101, 50
1102, 55
1103, 80
1104, 8
1105, 93
1106, 55
1107, 40
1108, 49
1109, 43
0111, 81
1110, 79
1111, 94
1112, 4
1113, 61
1114, 60
1115, 16
1116, 38
1117, 77
1118, 22
1119, 94
0112, 12
1120, 93
1121, 61
1122, 69
1123, 23
1124, 26
1125, 96
1126, 67
1127, 92
1128, 97
1129, 85
0113, 39
1130, 96
1131, 55
1132, 46
1133, 29
1134, 31
1135, 74
1136, 76
1137, 37
1138, 62
1139, 32
0114, 64
1140, 37
1141, 13
1142, 37
1143, 41
1144, 9
1145, 85
1146, 15
1147, 67
1148, 10
1149, 16
0115, 60
1150, 41
1151, 56
1152, 59
1153, 27
1154, 26
1155, 90
1156, 86
1157, 40
1158, 17
1159, 38
0116, 71
1160, 8
1161, 25
1162, 97
1163, 97
1164, 4
1165, 37
1166, 41
1167, 52
1168, 50
1169, 87
0117, 79
1170, 4
1171, 4
1172, 38
1173, 27
1174, 96
1175, 21
1176, 45
1177, 79
1178, 8
1179, 6
0118, 96
1180, 53
1181, 38
1182, 24
1183, 61
