number, label
0001, 70
0002, 89
0003, 58
0004, 41
0005, 27
0006, 60
0007, 79
0008, 98
0009, 96
0010, 11
0011, 23
0012, 55
0013, 73
0014, 96
0015, 96
0016, 96
0017, 73
0018, 96
0019, 88
0020, 50
0021, 36
0022, 27
0023, 12
0024, 72
0025, 4
0026, 48
0027, 70
0028, 76
0029, 72
0030, 96
0031, 75
0032, 70
0033, 16
0034, 23
0035, 54
0036, 20
0037, 4
0038, 67
0039, 80
0040, 18
0041, 37
0042, 28
0043, 43
0044, 81
0045, 33
0046, 82
0047, 79
0048, 74
0049, 90
0050, 57
0051, 71
0052, 59
0053, 27
0054, 76
0055, 31
0056, 50
0057, 63
0058, 41
0059, 23
0060, 75
0061, 66
0062, 2
0063, 75
0064, 10
0065, 97
0066, 23
0067, 26
0068, 51
0069, 1
0070, 6
0071, 35
0072, 96
0073, 32
0074, 20
0075, 50
0076, 75
0077, 40
0078, 24
0079, 27
0080, 42
0081, 60
0082, 21
0083, 0
0084, 35
0085, 44
0086, 68
0087, 27
0088, 79
0089, 21
0090, 77
0091, 82
0092, 73
0093, 31
0094, 22
0095, 18
0096, 94
0097, 94
0098, 21
0099, 12
0100, 44
0101, 79
0102, 50
0103, 30
0104, 6
0105, 87
0106, 39
0107, 61
0108, 69
0109, 55
0110, 83
0111, 9
0112, 12
0113, 39
0114, 64
0115, 60
0116, 49
0117, 79
0118, 79
0119, 59
0120, 80
0121, 10
0122, 11
0123, 68
0124, 74
0125, 97
0126, 22
0127, 98
0128, 17
0129, 39
0130, 93
0131, 96
0132, 96
0133, 79
0134, 94
0135, 81
0136, 97
0137, 57
0138, 1
0139, 42
0140, 44
0141, 9
0142, 23
0143, 19
0144, 91
0145, 97
0146, 27
0147, 2
0148, 79
0149, 66
0150, 82
0151, 70
0152, 55
0153, 66
0154, 3
0155, 8
0156, 49
0157, 27
0158, 79
0159, 74
0160, 47
0161, 84
0162, 63
0163, 79
0164, 34
0165, 58
0166, 66
0167, 73
0168, 12
0169, 36
0170, 74
0171, 48
0172, 46
0173, 75
0174, 38
0175, 21
0176, 39
0177, 29
0178, 67
0179, 32
0180, 27
0181, 18
0182, 63
0183, 40
0184, 17
0185, 22
0186, 20
0187, 86
0188, 82
0189, 18
0190, 69
0191, 76
0192, 67
0193, 82
0194, 23
0195, 34
0196, 43
0197, 94
0198, 6
0199, 97
0200, 76
0201, 54
0202, 28
0203, 90
0204, 73
0205, 38
0206, 61
0207, 55
0208, 0
0209, 15
0210, 46
0211, 18
0212, 64
0213, 70
0214, 79
0215, 76
0216, 35
0217, 66
0218, 81
0219, 4
0220, 36
0221, 73
0222, 62
0223, 79
0224, 3
0225, 2
0226, 24
0227, 37
0228, 23
0229, 7
0230, 31
0231, 96
0232, 39
0233, 46
0234, 5
0235, 57
0236, 57
0237, 7
0238, 88
0239, 38
0240, 32
0241, 71
0242, 31
0243, 11
0244, 67
0245, 68
0246, 51
0247, 79
0248, 24
0249, 86
0250, 39
0251, 90
0252, 32
0253, 33
0254, 76
0255, 51
0256, 99
0257, 50
0258, 18
0259, 42
